image,predLabel,hasScore,accepted,bbox_1,bbox_2,bbox_3,bbox_4,cropFile,ocrText,ocrConf
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\00c2cca1-854e-465b-88c9-035e56207a76_jpg.rf.37363319ad14c51b17516ef85f36dabd.jpg,has_license_plate,0.999992370605469,1,1.5,1.5,638,246,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\00c2cca1-854e-465b-88c9-035e56207a76_jpg.rf.37363319ad14c51b17516ef85f36dabd_crop_01.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\00c2cca1-854e-465b-88c9-035e56207a76_jpg.rf.37363319ad14c51b17516ef85f36dabd.jpg,has_license_plate,0.999992370605469,1,1.5,391.5,638,248,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\00c2cca1-854e-465b-88c9-035e56207a76_jpg.rf.37363319ad14c51b17516ef85f36dabd_crop_02.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\00c2cca1-854e-465b-88c9-035e56207a76_jpg.rf.37363319ad14c51b17516ef85f36dabd.jpg,has_license_plate,0.999992370605469,1,521.5,1.5,118,53,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\00c2cca1-854e-465b-88c9-035e56207a76_jpg.rf.37363319ad14c51b17516ef85f36dabd_crop_03.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\00c2cca1-854e-465b-88c9-035e56207a76_jpg.rf.37363319ad14c51b17516ef85f36dabd.jpg,<error>,NaN,0,,,,,,<error>,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\022fa55d-7c2d-45a4-8f9d-9e8e726f6d21_jpg.rf.4d14dc0fcf3fa11c3218130b77f9df2e.jpg,has_license_plate,0.999952793121338,1,72.5,498.5,304,141,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\022fa55d-7c2d-45a4-8f9d-9e8e726f6d21_jpg.rf.4d14dc0fcf3fa11c3218130b77f9df2e_crop_01.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\022fa55d-7c2d-45a4-8f9d-9e8e726f6d21_jpg.rf.4d14dc0fcf3fa11c3218130b77f9df2e.jpg,has_license_plate,0.999952793121338,1,368.5,453.5,178,43,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\022fa55d-7c2d-45a4-8f9d-9e8e726f6d21_jpg.rf.4d14dc0fcf3fa11c3218130b77f9df2e_crop_02.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\022fa55d-7c2d-45a4-8f9d-9e8e726f6d21_jpg.rf.4d14dc0fcf3fa11c3218130b77f9df2e.jpg,<error>,NaN,0,,,,,,<error>,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\03o6p96xjmka1_jpg.rf.144f8ca88fb5c248d9365389ab0e91a8.jpg,has_license_plate,0.998417258262634,1,82.5,114.5,138,26,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\03o6p96xjmka1_jpg.rf.144f8ca88fb5c248d9365389ab0e91a8_crop_01.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\03o6p96xjmka1_jpg.rf.144f8ca88fb5c248d9365389ab0e91a8.jpg,has_license_plate,0.998417258262634,1,192.5,258.5,172,37,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\03o6p96xjmka1_jpg.rf.144f8ca88fb5c248d9365389ab0e91a8_crop_02.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\03o6p96xjmka1_jpg.rf.144f8ca88fb5c248d9365389ab0e91a8.jpg,has_license_plate,0.998417258262634,1,229.5,296.5,157,64,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\03o6p96xjmka1_jpg.rf.144f8ca88fb5c248d9365389ab0e91a8_crop_03.jpg,GSTBCORDLCAROLIC,0.877
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\03o6p96xjmka1_jpg.rf.144f8ca88fb5c248d9365389ab0e91a8.jpg,has_license_plate,0.998417258262634,1,232.5,11.5,396,199,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\03o6p96xjmka1_jpg.rf.144f8ca88fb5c248d9365389ab0e91a8_crop_04.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\03o6p96xjmka1_jpg.rf.144f8ca88fb5c248d9365389ab0e91a8.jpg,<error>,NaN,0,,,,,,<error>,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\04916a30e99034bb2_jpg.rf.026ae80b32b70d7acf3e9e13810f5e46.jpg,has_license_plate,0.999999642372131,1,1.5,1.5,216,43,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\04916a30e99034bb2_jpg.rf.026ae80b32b70d7acf3e9e13810f5e46_crop_01.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\04916a30e99034bb2_jpg.rf.026ae80b32b70d7acf3e9e13810f5e46.jpg,has_license_plate,0.999999642372131,1,132.5,1.5,194,43,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\04916a30e99034bb2_jpg.rf.026ae80b32b70d7acf3e9e13810f5e46_crop_02.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\04916a30e99034bb2_jpg.rf.026ae80b32b70d7acf3e9e13810f5e46.jpg,has_license_plate,0.999999642372131,1,274.5,527.5,115,42,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\04916a30e99034bb2_jpg.rf.026ae80b32b70d7acf3e9e13810f5e46_crop_03.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\04916a30e99034bb2_jpg.rf.026ae80b32b70d7acf3e9e13810f5e46.jpg,<error>,NaN,0,,,,,,<error>,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\04b2c656-91ad-4e0e-8530-10faef7a2031_jpg.rf.7e2d41f688428d95170dfec9ca6881a4.jpg,has_license_plate,0.999998688697815,1,1.5,1.5,638,307,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\04b2c656-91ad-4e0e-8530-10faef7a2031_jpg.rf.7e2d41f688428d95170dfec9ca6881a4_crop_01.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\04b2c656-91ad-4e0e-8530-10faef7a2031_jpg.rf.7e2d41f688428d95170dfec9ca6881a4.jpg,has_license_plate,0.999998688697815,1,1.5,212.5,130,54,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\04b2c656-91ad-4e0e-8530-10faef7a2031_jpg.rf.7e2d41f688428d95170dfec9ca6881a4_crop_02.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\04b2c656-91ad-4e0e-8530-10faef7a2031_jpg.rf.7e2d41f688428d95170dfec9ca6881a4.jpg,has_license_plate,0.999998688697815,1,130.5,101.5,76,24,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\04b2c656-91ad-4e0e-8530-10faef7a2031_jpg.rf.7e2d41f688428d95170dfec9ca6881a4_crop_03.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\04b2c656-91ad-4e0e-8530-10faef7a2031_jpg.rf.7e2d41f688428d95170dfec9ca6881a4.jpg,has_license_plate,0.999998688697815,1,463.5,549.5,176,90,C:\Users\sarmau\Image Recognition\License Plate Detection\pipeline_output\cropped_plates\04b2c656-91ad-4e0e-8530-10faef7a2031_jpg.rf.7e2d41f688428d95170dfec9ca6881a4_crop_04.jpg,,0
C:\Users\sarmau\Image Recognition\License Plate Detection\archive (1)\plate-license-5\test\has_license_plate\04b2c656-91ad-4e0e-8530-10faef7a2031_jpg.rf.7e2d41f688428d95170dfec9ca6881a4.jpg,<error>,NaN,0,,,,,,<error>,0
